,LV ActivePower (kW)
41484,2672.47900390625
19657,1013.208984375
7973,3572.626953125
47335,3453.47290039062
12126,19.7167892456054
25483,1810.18103027343
31469,3269.86108398437
11003,667.257080078125
34926,191.606903076171
24081,237.78840637207
10887,699.831970214843
45659,3602.1689453125
44340,3460.76000976562
36189,1397.51196289062
33412,356.419494628906
39608,1125.10803222656
844,2947.68408203125
44538,995.108581542968
19566,1400.09997558593
8827,3463.13696289062
39422,283.290496826171
11789,86.3163909912109
25657,32.2472305297851
17720,463.445007324218
5966,2688.15087890625
376,685.078002929687
7313,115.391296386718
48091,3602.30590820312
10886,749.778503417968
29055,68.2948837280273
47821,800.974304199218
12745,10.7152395248413
11122,509.977813720703
27768,1640.17700195312
45347,3602.90991210937
44065,1278.67199707031
44010,3561.13891601562
1746,2744.64892578125
18818,1716.97497558593
36828,2516.1279296875
36566,3037.30493164062
6431,2332.07202148437
8316,3602.61206054687
19515,1303.65795898437
7583,401.282592773437
2840,3461.0419921875
14782,747.782775878906
14344,3576.10595703125
34733,623.011596679687
16752,21.5261192321777
31196,3603.23095703125
30895,2633.39697265625
24188,645.542907714843
34437,1426.41198730468
27145,1695.96105957031
35772,612.837585449218
30622,1899.88598632812
44465,3552.03002929687
40985,1645.93298339843
32619,2656.93408203125
40639,71.8996429443359
16108,415.47280883789
25878,545.677307128906
14416,3052.0791015625
6097,2066.94897460937
8187,3499.6259765625
41612,2055.64892578125
6232,1069.72204589843
10376,3189.0791015625
25915,63.8036308288574
23789,563.293884277343
36529,3361.39208984375
19004,931.739196777343
1708,659.148620605468
48053,2535.44799804687
13120,810.6826171875
23357,249.291702270507
39365,570.576904296875
27399,633.172302246093
4211,3602.19604492187
17578,524.526672363281
43381,1030.10900878906
1831,2640.38110351562
30525,1255.60400390625
23816,422.208404541015
44379,3463.81103515625
45113,1813.0419921875
5760,2921.72998046875
23587,357.294891357421
49275,3596.787109375
3278,632.474487304687
31951,813.803283691406
43383,816.395385742187
42572,1878.11401367187
24873,3089.65087890625
22720,2128.9970703125
11152,1779.83801269531
40040,279.244506835937
43259,799.186279296875
30074,1399.48400878906
40867,986.940185546875
45453,3601.68994140625
26420,720.89990234375
40148,350.277709960937
8782,3602.97192382812
43450,668.756774902343
45935,3600.34301757812
22541,3304.833984375
1213,261.065887451171
21093,2555.96899414062
28674,2025.10900878906
30050,2574.05908203125
10279,3603.47290039062
25102,772.716186523437
30404,3385.35400390625
28038,510.600006103515
42335,688.010314941406
28629,86.1734771728515
39655,2674.22412109375
39034,2986.44995117187
42440,1001.05798339843
38158,1925.87805175781
10091,1830.8310546875
34440,1665.28198242187
5863,818.291870117187
26835,1700.10205078125
10177,3604.03100585937
32437,3579.36401367187
41679,3604.291015625
37815,3597.39501953125
17776,68.5472717285156
33864,1257.78405761718
40127,2239.61401367187
10794,2755.82104492187
43382,1235.91198730468
21257,440.634887695312
842,3086.5390625
39804,2758.458984375
37724,3563.68090820312
39015,3565.92309570312
42929,2558.9208984375
9744,3602.96704101562
32696,1093.38000488281
19231,7.17466592788696
18324,2124.44506835937
36952,2660.10400390625
4290,3601.42211914062
37223,87.553596496582
2673,2848.45288085937
33246,354.560485839843
42178,597.668395996093
43894,2328.8701171875
28106,31.5998191833496
45179,31.9690895080566
32314,3604.28002929687
21857,3485.67504882812
14247,123.139999389648
38919,419.517211914062
37468,1018.54699707031
17716,178.386596679687
14765,794.431884765625
1223,363.042694091796
4192,3602.46508789062
32201,2512.61303710937
11708,2555.4208984375
9460,1763.71203613281
46015,2195.6708984375
41587,2379.39794921875
42715,1981.93395996093
17769,149.376693725585
40124,2480.31689453125
24321,1544.89099121093
19637,1318.7080078125
34,1170.53601074218
6018,2568.69409179687
35096,439.458801269531
41455,1864.3759765625
44651,1737.75695800781
7366,297.242401123046
2577,2370.88208007812
36399,69.7939071655273
5660,3382.70703125
41255,2774.587890625
37877,3601.51489257812
14721,379.901794433593
39012,3528.68505859375
49628,624.046997070312
36702,3195.36303710937
3780,31.0648593902587
40095,2405.65600585937
35768,546.206604003906
5109,70.4149780273437
24347,1524.4560546875
17655,462.404113769531
32893,3574.13500976562
47134,210.454406738281
34953,6.10220098495483
4969,3604.4140625
46072,230.50210571289
11053,3087.76611328125
36484,3305.97607421875
19309,3.74333906173706
41537,1322.4990234375
41480,2573.04907226562
35424,737.442321777343
37738,3546.9541015625
12227,460.37271118164
2497,1697.10595703125
27920,418.951904296875
17500,986.758178710937
42986,2518.01293945312
25182,2878.52197265625
25410,801.098571777343
48087,3332.830078125
43404,1873.5419921875
33846,542.775024414062
2460,814.08642578125
31404,2603.37109375
14174,37.464599609375
38185,49.9780197143554
20307,2708.31201171875
45501,3601.22290039062
28050,286.81460571289
48157,2033.03698730468
48428,19.8215198516845
11158,753.093811035156
29036,444.600402832031
23872,1087.7080078125
11021,1172.39099121093
27035,777.488220214843
45457,3601.36401367187
37488,255.158294677734
37561,2631.59790039062
